"Plot2"
"Tiempo (sec)","Reaction Force1 (newton)"
0,0
0.000289776499444537,3393.72996943653
0.000548964732940571,1533.74131090795
0.000809724050193095,1199.55112980286
0.001,1162.6928118734
0.002,1138.19996204067
0.003,1289.30687881463
0.00305225547005135,1311.86882209325
0.004,1142.37111107557
0.005,1145.17829048334
0.006,1147.9684222687
0.007,1150.45582277756
0.008,1152.85904467908
0.009,1155.48905992574
0.01,1157.96291405878
0.011,1160.4425687223
0.012,1162.86366167473
0.013,1165.19077590104
0.014,1167.63139015521
0.015,1169.93874021431
0.016,1172.27305843716
0.017,1174.59966140108
0.018,1176.82079159577
0.019,1179.11459171684
0.02,1181.26756794093
0.021,1183.51073167052
0.022,1185.66270237766
0.023,1187.82152584325
0.024,1189.96633916493
0.025,1192.04453343219
0.026,1194.13038534024
0.027,1196.17747274842
0.028,1198.22309174875
0.029,1200.21472964293
0.03,1202.19488562775
0.031,1204.14683518717
0.032,1206.07227350031
0.033,1207.97078200915
0.034,1209.84258133635
0.035,1211.68685977825
0.036,1213.50345042696
0.037,1215.29205623014
0.038,1217.05233475144
0.039,1218.78398761966
0.04,1220.48670203247
0.041,1222.16020834114
0.042,1223.80423493011
0.043,1225.41846588809
0.044,1227.00268095675
0.045,1228.55660607676
0.046,1230.08007029718
0.047,1231.57276431091
0.048,1233.0345166079
0.049,1234.46505373787
0.05,1235.86428276913
0.051,1237.18994496233
0.052,1238.57799786924
0.053,1239.87282693587
0.054,1241.14322905856
0.055,1242.38339408616
0.056,1243.59100295579
0.057,1244.76604390988
0.058,1245.9084907478
0.059,1247.01820611185
0.06,1248.09514574927
0.061,1249.13910520887
0.062,1250.15007875639
0.063,1251.12790844898
0.064,1252.07259927793
0.065,1252.98398370278
0.066,1253.86201940027
0.067,1254.70662810791
0.068,1255.5177530689
0.069,1256.29536699468
0.07,1257.03933734251
0.071,1257.74968556664
0.0720000000000001,1258.42628502891
0.0730000000000001,1259.06918380429
0.0740000000000001,1259.67824802974
0.0750000000000001,1260.25349470944
0.0760000000000001,1260.82134878861
0.0770000000000001,1261.26819053009
0.0780000000000001,1261.79971435415
0.0790000000000001,1262.19232276817
0.0800000000000001,1262.64805519764
0.0810000000000001,1262.96341000508
0.0820000000000001,1263.38335907153
0.0830000000000001,1263.57092329215
0.0840000000000001,1263.91318929875
0.0850000000000001,1264.14978414792
0.0860000000000001,1264.33558931342
0.0870000000000001,1264.48981411038
0.0880000000000001,1264.64587942136
0.0890000000000001,1264.74171420367
0.0900000000000001,1264.80085779273
0.0910000000000001,1264.82879091546
0.0920000000000001,1264.81517923958
0.0930000000000001,1264.78566944313
0.0940000000000001,1264.75541035813
0.0950000000000001,1264.57919905377
0.0960000000000001,1264.471351935
0.0970000000000001,1264.29271722555
0.0980000000000001,1264.08196484529
0.0990000000000001,1263.83798349898
0.1,1263.55966966549
0.101,1263.24702310435
0.102,1262.90007461984
0.103,1262.51883566433
0.104,1262.10328356408
0.105,1261.6534512443
0.106,1261.16929533968
0.107,1260.65085507632
0.108,1260.09809842422
0.109,1259.5110444592
0.11,1258.88970825888
0.111,1258.23406439054
0.112,1257.54411033143
0.113,1256.81985119129
0.114,1256.0613261052
0.115,1255.26849040679
0.116,1254.44139100828
0.117,1253.5799939944
0.118,1252.68433737987
0.119,1251.75440926636
0.12,1250.7902174328
0.121,1249.79178827723
0.122,1248.75912347091
0.123,1247.692251731
0.124,1246.59113381129
0.125,1245.47258278851
0.126,1244.28078511012
0.127,1243.08148754743
0.128,1241.84438578723
0.129,1240.56538243075
0.13,1239.26820180714
0.131,1237.92631074392
0.132,1236.5517253333
0.133,1235.14336470411
0.134,1233.70090729469
0.135,1232.22438001386
0.136,1230.71385128156
0.137,1229.16930949047
0.138,1227.59081336087
0.139,1226.00926359927
0.14,1224.291047441
0.141,1222.65966512356
0.142,1220.95169100982
0.143,1219.18056673344
0.144,1217.40656210286
0.145,1215.59427405336
0.146,1213.73736901819
0.147,1211.86447667343
0.148,1209.94117345141
0.149,1208.00111303784
0.15,1205.99231942209
0.151,1204.01137066736
0.152,1201.92165105001
0.153,1199.8847257993
0.154,1197.75547182539
0.155,1195.56892452957
0.156,1193.39943825732
0.157,1191.20678518998
0.158,1188.93608937432
0.159,1186.64135384958
0.16,1184.36082510723
0.161,1182.02142383607
0.162,1179.60974499198
0.163,1177.20309947696
0.164,1174.75858682224
0.165,1172.28059550287
0.166,1169.77049623523
0.167,1167.22843773103
0.168,1164.65437103479
0.169,1162.04857753813
0.17,1159.41107980932
0.171,1156.74213454233
0.172,1154.04181976621
0.173,1151.3103957528
0.174,1148.54796640547
0.175,1145.75480847859
0.176,1142.93104032524
0.177,1140.07696430187
0.178,1137.19273315113
0.179,1134.27865887265
0.18,1131.33493213048
0.181,1128.36187540228
0.182,1125.35972807185
0.183,1122.32882552029
0.184,1119.26946401
0.185,1116.16494279094
0.186,1113.0718019899
0.187,1109.92517733516
0.188,1106.75464485349
0.189,1103.55842096391
0.19,1100.3359377175
0.191,1097.0877435093
0.192,1093.82019744057
0.193,1090.51295816337
0.194,1087.19235616119
0.195,1083.8467941138
0.196,1080.47778205145
0.197,1077.08643350565
0.198,1073.70519162326
0.199,1070.21896061485
0.2,1066.77457571536
0.201,1063.30286229288
0.202,1059.80998120762
0.203,1056.29938482386
0.204,1052.77179811071
0.205,1049.22798502104
0.206,1045.66905142289
0.207,1042.09580532554
0.208,1038.50949876289
0.209,1034.91105769301
0.21,1031.30170831587
0.211,1027.67925073998
0.212,1024.05572984942
0.213,1020.42018009599
0.214,1016.78114294714
0.215,1013.12736979681
0.216,1009.45782343351
